nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,141.6463,143.3358,50.6782
2,94.0359,80.1112,8.1347
3,41.2354,98.3351,7.684
4,84.3147,114.9966,23.2679
5,52.3375,76.358,5.7884
6,36.9151,89.0096,10.1274
7,87.7839,68.5754,8.3925
8,109.0814,107.8261,5.3073
9,88.7329,65.21,8.4031
10,95.2614,56.9876,78.4366
,83.13445,90.07454,20.62201
