nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,129.7397,125.7084,7.6286
2,70.8144,63.436,21.4111
3,60.8766,70.3039,5.9837
4,70.783,93.2303,94.0684
5,65.3359,77.9494,21.1122
6,68.9466,64.0628,23.3439
7,92.7235,81.5927,24.6265
8,60.5677,87.8987,23.2633
9,53.8145,75.287,22.7163
10,85.6353,58.1272,49.0394
,75.92372,79.75964,29.31934
