nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,121.0191,149.5616,22.9252
2,62.8132,64.0741,54.1104
3,78.7629,83.3176,17.5289
4,73.4549,78.1942,16.6993
5,66.9622,82.4145,8.5587
6,92.5647,80.4873,8.0282
7,66.7719,71.6909,20.7917
8,75.5562,74.3976,46.2707
9,82.8538,90.3711,10.6374
10,79.0201,88.2818,6.6177
,79.9779,86.27907,21.21682
