nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,118.9934,127.5361,7.8618
2,62.4584,76.4483,29.3423
3,60.772,65.7961,16.7114
4,72.455,66.9992,24.7183
5,69.4598,50.7199,15.9437
6,63.9686,49.5743,7.8785
7,52.6871,48.4165,6.7496
8,69.8745,85.2153,29.8752
9,52.9638,82.0979,6.4962
10,60.7506,59.8532,13.9905
,68.43832,71.26568,15.95675
