nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,64.8072,67.5587,68.3994
2,68.2928,64.6644,63.3486
3,65.7836,68.6242,65.1005
4,81.3289,64.7938,63.6657
5,67.303,64.4086,63.878
6,64.0463,63.2073,67.9193
7,66.3215,63.1764,63.472
8,74.8094,66.1822,84.9511
9,64.836,63.9252,64.2553
10,82.8366,64.0549,69.3139
,70.03653,65.05957,67.43038
