nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,65.4025,93.9033,64.9795
2,69.575,64.6276,64.5866
3,75.8286,65.4452,68.152
4,65.4081,63.9563,64.5776
5,67.5523,63.6581,64.6526
6,64.2309,64.627,69.3794
7,64.3674,64.0195,64.3367
8,64.423,65.0015,63.7098
9,64.8964,64.5173,64.0032
10,64.3517,65.0985,76.2343
,66.60359,67.48543,66.46117
