nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,154.54,152.106,164.734
2,147.914,145.378,149.121
3,144.549,148.66,154.05
4,156.813,145.191,194.741
5,173.871,164.112,152.317
6,155.008,148.415,150.238
7,145.941,145.214,148.044
8,145.063,152.644,145.038
9,150.793,147.223,152.421
10,146.609,144.569,190.738
,152.1101,149.3512,160.1442
