nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,91.4133,105.86,77.0254
2,79.4135,104.582,85.6401
3,79.815,102.639,112.895
4,84.5856,102.856,114.844
5,112.513,106.731,87.061
6,88.3275,94.1863,85.3323
7,101.336,95.5859,113.507
8,100.344,82.2768,103.618
9,106.594,112.432,98.3111
10,86.8417,82.1855,98.8419
,93.11836,98.93345,97.70758
