nr_iteratie,timp_linii,timp_coloane 
1,33.2502,29.110201
2,27.2453,27.4833
3,21.7738,21.6477
4,26.6533,26.164301
5,21.28,22.120899
6,19.1324,22.283
7,22.7127,23.957601
8,21.097199,21.043401
9,24.0425,23.055401
10,33.6708,21.7311
,25.0858199,23.8596904
