nr_iteratie,timp_linii,timp_coloane 
1,0.0212,2.0314
2,0.0162,1.9612
3,0.0164,1.8891
4,0.0162,1.9669
5,0.0164,2.0659
6,0.0168,1.8608
7,0.0164,1.8319
8,0.0164,2.101
9,0.0164,2.0255
10,0.0163,1.8272
,0.01687,1.95609
