nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,58.2498,87.9406,1.6153
2,2.1554,1.6603,1.6963
3,2.4714,1.5536,1.5489
4,2.2984,1.9217,1.2557
5,2.1159,1.4234,1.5354
6,2.9137,2.0888,0.9231
7,2.9767,1.781,1.484
8,2.8149,1.8452,1.5211
9,2.0943,1.7172,1.4472
10,2.7014,1.3844,0.9446
,8.07919,10.33162,1.39716
