nr_iteratie,timp_linii,timp_coloane 
1,28.5852,14.2758
2,28.4125,9.832
3,28.5268,9.8241
4,28.5923,9.8283
5,28.5205,11.3214
6,28.5161,14.2753
7,28.5959,14.0257
8,28.7068,13.858
9,28.6468,14.2504
10,28.4793,14.0625
,28.55822,12.55535
