nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,82.5761,88.7985,61.0251
2,50.5801,31.0981,25.0138
3,21.0816,29.978,34.4959
4,33.5622,30.6178,24.1987
5,33.5987,31.6441,25.8318
6,23.5975,30.0641,23.3498
7,21.4043,25.5338,24.8938
8,66.3878,32.5745,56.8713
9,25.155,49.3324,37.5345
10,27.692,27.2222,27.1355
,38.56353,37.68635,34.03502
