nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,106.5394,132.4656,5.4057
2,52.9215,81.7832,8.0017
3,73.8874,84.108,7.0356
4,73.697,67.4773,43.8712
5,84.0149,78.818,9.926
6,56.0943,117.2162,11.6292
7,52.3031,67.2496,27.805
8,91.3267,77.1848,68.399
9,65.1755,63.7028,28.2179
10,105.9299,74.3124,9.9878
,76.18897,84.43179,22.02791
