nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,75.5238,80.6804,7.0384
2,21.6559,26.9684,21.1357
3,28.3202,26.795,4.6979
4,20.4554,41.1451,4.8905
5,23.702,27.5559,5.5192
6,23.1829,25.1877,6.545
7,20.6435,44.3485,5.7991
8,23.6724,28.545,9.4599
9,20.724,37.965,9.6254
10,23.4319,27.8791,6.4249
,28.1312,36.70701,8.1136
