nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,88.0668,104.1058,69.3722
2,38.7004,33.1622,24.0648
3,76.549,56.9571,6.3039
4,48.2327,32.7673,73.2906
5,27.4275,30.2897,58.2824
6,47.7593,33.13,57.6603
7,36.3168,28.4799,54.2709
8,46.983,35.7135,20.7887
9,44.4955,58.3204,6.5568
10,30.2379,32.5304,18.6467
,48.47689,44.54563,38.92373
