nr_iteratie,timp_linii,timp_coloane 
1,28.9889,9.3899
2,29.175,10.9621
3,28.9709,9.0935
4,28.9954,9.2325
5,33.7817,9.0802
6,29.6297,14.3495
7,29.115,9.1204
8,29.0807,9.3462
9,29.0058,9.5425
10,29.316,14.0142
,29.60591,10.4131
