nr_iteratie,timp_linii,timp_coloane 
1,28.988,20.6064
2,35.5848,21.3197
3,29.0418,18.363
4,29.8201,16.267
5,29.1995,16.1445
6,29.025,16.0493
7,29.5561,16.3506
8,28.9006,16.0345
9,29.0875,16.6565
10,29.0294,16.126
,29.82328,17.39175
