nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,120.8978,127.2085,54.2352
2,61.8449,67.0158,79.6997
3,69.3364,63.7156,56.035
4,53.8516,85.1735,49.4666
5,69.3764,59.3423,56.5972
6,54.9757,81.0418,105.1075
7,72.2115,76.1387,53.0792
8,60.2839,61.7898,84.5717
9,66.1011,76.3404,51.1297
10,65.5289,124.1601,45.9953
,69.44082,82.19265,63.59171
