nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,114.0093,126.7122,48.76
2,61.2916,70.605,58.232
3,52.8034,87.4245,25.4673
4,56.8665,62.7879,84.3627
5,55.9036,63.613,74.5591
6,67.709,64.6203,30.4719
7,65.1649,69.2101,45.4018
8,59.1333,60.1636,54.6839
9,54.6816,62.7809,48.4487
10,60.1959,61.022,91.495
,64.77591,72.89395,56.18824
