nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,195.7497,133.6293,23.8413
2,62.9743,70.4113,47.6801
3,78.3779,68.8252,103.0842
4,104.2389,94.8446,71.3416
5,70.784,79.7897,70.1063
6,66.3905,81.0432,24.1374
7,61.7401,109.2028,47.6346
8,91.9072,138.752,41.9948
9,83.9223,93.6938,64.967
10,74.3769,87.9146,65.3884
,89.04618,95.81065,56.01757
