nr_iteratie,timp_blocuri,timp_linear,timp_cyclic 
1,132.7571,152.32,67.322
2,73.1923,89.5373,33.0752
3,75.0111,70.2671,69.2821
4,71.1302,90.0398,30.578
5,71.698,88.4492,65.344
6,79.4031,84.6604,105.4722
7,71.9169,74.0002,60.5802
8,79.6076,76.1755,70.2592
9,72.1925,96.7121,72.9838
10,89.4875,62.6259,126.3705
,81.63963,88.47875,70.12672
