nr_iteratie,timp_linii,timp_coloane 
1,57.769701,58.440199
2,46.4664,75.6644
3,55.2041,78.2641
4,54.8863,71.302601
5,46.896,56.563801
6,59.809899,67.1331
7,54.664801,69.3581
8,54.5959,62.9513
9,79.6082,62.523099
10,43.1438,68.595
,55.3045101,67.07957
