nr_iteratie,timp_linii,timp_coloane 
1,84.064101,51.8633
2,75.014799,64.388401
3,75.774699,71.1716
4,82.1811,51.455299
5,87.5559,71.2491
6,82.592801,62.857601
7,72.1377,50.454
8,93.3544,53.1525
9,78.6048,55.6875
10,82.425599,69.478
,81.3705899,60.1757301
