nr_iteratie,timp_linii,timp_coloane 
1,28.8106,10.616
2,30.8856,10.1431
3,28.7078,11.6274
4,28.5339,9.7206
5,31.7577,10.0434
6,28.9179,9.5664
7,28.9295,10.2759
8,28.6249,12.4202
9,28.6811,9.8414
10,28.6485,10.1093
,29.24975,10.43637
