nr_iteratie,timp_linii,timp_coloane 
1,28.9682,14.4614
2,29.0544,10.4554
3,28.61,10.6851
4,28.6777,10.3875
5,28.5668,10.691
6,29.2805,11.0388
7,28.6436,10.5225
8,28.5746,10.2703
9,28.6371,14.2682
10,29.3735,12.7028
,28.83864,11.5483
