nr_iteratie,timp_linii,timp_coloane 
1,29150.2,6471.3
2,28270.5,6275.6
3,28395.6,6228.9
4,28135.7,6312.4
5,28320.8,6264.7
6,28510.3,6338.2
7,28182.9,6200.1
8,28435.6,6283.5
9,28270.4,6351.8
10,28142.3,6239.2
,28381.43,6296.57
