nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,1.9328,0.7081,0.6378
2,1.8754,0.731,0.6396
3,2.087,0.9482,0.7162
4,2.0288,0.9677,0.8121
5,2.0837,0.8763,0.7845
6,2.0838,0.853,1.0318
7,2.0406,0.7886,0.7257
8,2.1513,0.8392,0.7832
9,1.9141,0.9216,0.9128
10,2.0128,0.823,0.6362
,2.02103,0.84567,0.76799
