nr_iteratie,timp_linii,timp_coloane 
1,288.48,66.1131
2,285.829,66.3897
3,288.604,66.8927
4,291.291,84.9433
5,293.944,73.0546
6,308.215,73.8125
7,288.934,65.7528
8,292.174,70.4119
9,295.825,83.8557
10,287.511,66.0684
,292.0807,71.72947
