nr_iteratie,timp_linii,timp_coloane 
1,291.597,90.2768
2,287.539,75.0335
3,287.224,107.117
4,286.909,90.0052
5,288.171,93.5894
6,291.777,92.8531
7,286.989,97.0999
8,291.319,107.03
9,319.664,94.2587
10,287.571,92.5518
,291.876,93.98154
