nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,10.9566,8.0528,10.153
2,8.7728,7.9141,7.8933
3,8.8856,7.6354,7.7446
4,9.0321,7.6745,7.7263
5,9.0558,8.3033,7.8648
6,9.1564,7.8742,7.8604
7,8.7928,8.1199,8.0749
8,9.1725,7.8275,7.917
9,8.9587,7.9755,7.7571
10,8.8629,8.3979,7.825
,9.16462,7.97751,8.08164
