nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,14.1841,10.9422,7.9745
2,13.9817,12.921,13.5427
3,9.9883,9.1905,8.7208
4,9.95,13.1218,13.9746
5,9.8656,13.9283,13.538
6,13.133,13.0353,8.7572
7,13.9868,13.1027,12.7721
8,9.8966,12.9926,12.9843
9,9.3852,13.6565,9.9849
10,11.4957,13.2644,13.0549
,11.5867,12.61553,11.5304
