nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,14.4385,10.3435,12.2518
2,13.9547,11.4902,11.9709
3,11.0958,11.4502,7.3071
4,8.4042,7.2578,7.2145
5,8.5542,7.3999,7.4663
6,8.43,7.487,7.3835
7,8.6101,7.4827,7.3836
8,8.5173,7.3769,7.5477
9,8.4937,7.2816,7.5597
10,8.2734,7.3444,7.6086
,9.87719,8.49142,8.36937
