nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,18.5264,15.8212,15.9096
2,17.9452,16.4605,15.3923
3,15.9902,15.9283,15.7449
4,16.1357,15.8351,15.3105
5,16.1911,16.3279,15.6808
6,17.2375,16.0717,15.0098
7,17.0259,16.6913,14.9136
8,16.7983,15.0774,16.1874
9,16.9576,15.4635,20.4057
10,18.5874,15.9952,16.167
,17.13953,15.96721,16.07216
