nr_iteratie,timp_linii,timp_coloane 
1,1.3854,1.2445 
2,1.6319,1.2894 
3,1.5647,1.2534 
4,2.0584,2.2031 
5,1.6152,1.3866 
6,1.7791,1.3566 
7,2.2398,2.6663 
8,4.3642,1.4762 
9,5.4297,2.6367 
10,1.7715,1.3284 
