nr_iteratie,timp_linii,timp_coloane 
1,29622.9,6593.4
2,28811.8,6397.9
3,28974.2,6352.4
4,28610.3,6435.5
5,28892.7,6380.4
6,29105.6,6462.7
7,28685.3,6312.6
8,29029.4,6407.5
9,28861.9,6472.3
10,28644.1,6358.2
,28923.82,6417.29
