nr_iteratie,timp_linii,timp_coloane 
1,29341.8,6528.9
2,28526.5,6331.4
3,28701.3,6288.7
4,28379.5,6371.6
5,28623.4,6315.8
6,28834.7,6398.3
7,28427.9,6255.4
8,28756.9,6339.2
9,28588.7,6410.1
10,28368.2,6293.8
,28654.89,6353.32
