nr_iteratie,timp_linii,timp_coloane 
1,60.6764,169.4566
2,63.6072,115.7362
3,60.8786,124.5622
4,60.339,73.0692
5,125.4834,180.1971
6,56.3568,81.624
7,82.6966,113.653
8,65.4303,157.388
9,76.3959,152.4263
10,61.9351,93.2725
,71.37993,126.13851
