nr_iteratie,timp_linii,timp_coloane 
1,306.432,64.2159
2,288.84,65.9234
3,284.403,64.6441
4,285.652,66.0247
5,287.377,65.8676
6,285.044,64.9879
7,285.51,66.2525
8,290,65.5521
9,285.539,65.6696
10,295.745,64.6777
,289.4542,65.38155
