nr_iteratie,timp_linii,timp_coloane 
1,285.513,77.4909
2,289.25,93.8751
3,284.027,87.6807
4,285.79,85.9783
5,289.577,75.0511
6,292.384,103.711
7,286.305,102.246
8,288.307,104.638
9,284.341,84.9446
10,291.712,92.138
,287.7206,90.77537
