nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,9.1138,8.1559,8.2977
2,10.8676,9.5736,7.8544
3,9.821,7.9733,8.1552
4,9.5408,7.7338,8.0319
5,11.1295,9.9846,7.7896
6,8.8956,9.1872,7.7877
7,9.1336,7.6529,9.4823
8,10.1989,8.0334,8.2601
9,9.2185,7.7729,7.7657
10,9.7659,7.8279,9.6293
,9.76852,8.38955,8.30539
