nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,9.3662,7.2735,7.4551
2,10.9191,7.4552,7.6341
3,9.3811,7.8365,7.4127
4,9.3869,7.43,7.5695
5,11.4699,10.3974,7.5459
6,10.5289,10.3764,10.7926
7,11.4722,7.9521,10.8024
8,14.2509,10.5438,10.7967
9,9.7832,7.2374,7.3792
10,9.8991,10.729,7.5961
,10.64575,8.72313,8.49843
