nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,14.4712,13.2012,9.103
2,12.9278,8.0656,13.1893
3,10.692,8.8819,13.3525
4,14.0662,8.0555,13.1911
5,13.4106,12.9508,11.5477
6,14.2835,13.1818,13.1729
7,14.0213,12.9295,13.057
8,9.9458,8.3823,13.4108
9,14.3681,13.0761,9.2055
10,14.1239,12.2241,12.9514
,13.23104,11.09488,12.21812
