nr_iteratie,timp_blocuri,timp_delta_linear,timp_delta_cyclic 
1,16.1875,16.158,15.8954
2,18.5066,15.049,14.9984
3,17.4026,14.9864,15.3445
4,17.8355,17.1786,16.1505
5,16.1505,15.5041,15.2617
6,16.3394,19.9287,15.9237
7,17.108,16.6329,14.9031
8,16.4527,15.1036,15.4367
9,17.2899,16.4345,15.1554
10,16.1932,15.5725,15.6764
,16.94659,16.25483,15.47458
