nr_iteratie,timp_linii,timp_coloane 
1,29.1724,17.0284
2,29.1137,17.3653
3,29.5293,16.726
4,29.0781,17.3869
5,29.6294,16.3021
6,29.0214,16.5976
7,29.3742,17.558
8,29.0298,17.316
9,29.6728,16.1689
10,28.9123,16.1537
,29.25334,16.86029
