nr_iteratie,timp_linii,timp_coloane 
1,29.0688,10.3663
2,28.8598,10.1253
3,29.2675,10.1274
4,28.9352,10.2098
5,33.5285,9.9502
6,29.5425,10.1754
7,29.1416,10.2885
8,28.8076,12.256
9,29.0192,9.9417
10,30.3447,11.8589
,29.65154,10.52995
