nr_iteratie,timp_linii,timp_coloane 
1,2756.1519,2211.0414
2,2925.3823,3262.0332
3,2669.303,2560.7117
4,2867.5577,2755.2546
5,2620.8913,2301.653
6,2882.0159,2916.8434
7,2976.7387,2922.8033
8,3021.3022,3789.0166
9,2885.5984,2951.4048
10,2875.4883,2580.4388
,2848.04297,2825.12008
