nr_iteratie,timp_linii,timp_coloane 
1,6147.4267,3213.424899
2,5794.037899,4928.694299
3,6230.018301,6708.349
4,5537.7151,6335.0001
5,6246.179499,2741.8883
6,3641.1091,3805.3191
7,6027.6874,4921.6187
8,5335.3939,5906.9476
9,5348.035,3922.1689
10,5299.8654,3295.6592
,5560.74683,4577.90701
